,iso_code,continent,location,date,total_cases,total_deaths,population,population_density,median_age,gdp_per_capita,life_expectancy,human_development_index,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand
28,BDI,Africa,Burundi,2022-06-09,42248.0,38.0,12255429.0,423.06199999999995,17.5,702.225,61.58,0.433,293.068,6.05,0.8
29,SYC,Africa,Seychelles,2022-06-09,44199.0,167.0,98910.0,208.354,36.2,26382.287,73.4,0.7959999999999999,242.648,10.55,3.6
30,GAB,Africa,Gabon,2022-06-09,47711.0,304.0,2278829.0,7.859,23.1,16562.413,66.47,0.703,259.967,7.2,6.3
31,CPV,Africa,Cape Verde,2022-06-09,56738.0,402.0,561901.0,135.58,25.7,6222.554,72.98,0.665,182.21900000000002,2.42,2.1
32,BTN,Asia,Bhutan,2022-06-09,59636.0,21.0,779900.0,21.188000000000002,28.6,8708.597,71.78,0.654,217.06599999999997,9.75,1.7
33,BLZ,North America,Belize,2022-06-09,60694.0,678.0,404915.0,16.426,25.0,7824.361999999999,74.62,0.716,176.957,17.11,1.3
34,SDN,Africa,Sudan,2022-06-09,62444.0,4950.0,44909351.0,23.258000000000003,19.7,4466.5070000000005,65.31,0.51,431.38800000000003,15.67,0.8
35,MDG,Africa,Madagascar,2022-06-09,64478.0,1396.0,28427333.0,43.951,19.6,1416.44,67.04,0.528,405.994,3.94,0.2
36,FJI,Oceania,Fiji,2022-06-09,65159.0,864.0,902899.0,49.562,28.6,8702.975,67.44,0.743,412.82,14.49,2.3
37,GUY,South America,Guyana,2022-06-09,65714.0,1239.0,790329.0,3.952,26.3,7435.047,69.91,0.682,373.159,11.62,1.6
38,SWZ,Africa,Eswatini,2022-06-09,72822.0,1410.0,1172369.0,79.492,21.5,7738.975,60.19,0.611,333.436,3.94,2.1
39,SUR,South America,Suriname,2022-06-09,80673.0,1352.0,591798.0,3.612,29.6,13767.118999999999,71.68,0.738,258.314,12.54,3.1
40,BRB,North America,Barbados,2022-06-09,81929.0,467.0,287708.0,664.4630000000001,39.8,16978.068,79.19,0.8140000000000001,170.05,13.57,5.8
41,MWI,Africa,Malawi,2022-06-09,86058.0,2642.0,19647681.0,197.519,18.1,1095.042,64.26,0.483,227.34900000000002,3.94,1.3
42,MLT,Europe,Malta,2022-06-09,95642.0,723.0,516100.0,1454.037,42.4,36513.323,82.53,0.895,168.71099999999998,8.83,4.485
43,CMR,Africa,Cameroon,2022-06-09,119947.0,1930.0,27224262.0,50.885,18.8,3364.926,59.29,0.563,244.66099999999997,7.2,1.3
44,KHM,Asia,Cambodia,2022-06-09,136262.0,3056.0,16946446.0,90.67200000000001,25.6,3645.07,69.82,0.594,270.892,4.0,0.8
45,JAM,North America,Jamaica,2022-06-09,139456.0,3079.0,2973462.0,266.879,31.4,8193.571,74.47,0.7340000000000001,206.537,11.28,1.7
46,BRN,Asia,Brunei,2022-06-09,151950.0,224.0,441532.0,81.347,32.4,71809.25099999999,75.86,0.838,201.285,12.79,2.7
47,GHA,Africa,Ghana,2022-06-09,161841.0,1445.0,31732128.0,126.719,21.1,4227.63,64.07,0.611,298.245,4.97,0.9
48,TTO,North America,Trinidad and Tobago,2022-06-09,163885.0,3952.0,1403374.0,266.88599999999997,36.2,28763.071,73.51,0.7959999999999999,228.467,10.97,3.0
49,SLV,North America,El Salvador,2022-06-09,164134.0,4134.0,6518500.0,307.811,27.6,7292.4580000000005,73.32,0.6729999999999999,167.295,8.87,1.3
50,UGA,Africa,Uganda,2022-06-09,165927.0,3602.0,47123533.0,213.75900000000001,16.4,1697.707,63.37,0.544,213.333,2.5,0.5
51,AFG,Asia,Afghanistan,2022-06-09,180864.0,7709.0,39835428.0,54.422,18.6,1803.987,64.83,0.511,597.029,9.59,0.5
52,ISL,Europe,Iceland,2022-06-09,189319.0,153.0,368792.0,3.404,37.3,46482.958,82.99,0.9490000000000001,117.992,5.31,2.91
53,KGZ,Asia,Kyrgyzstan,2022-06-09,200993.0,2991.0,6628347.0,32.333,26.3,3393.474,71.45,0.6970000000000001,436.36199999999997,7.11,4.5
54,LAO,Asia,Laos,2022-06-09,210129.0,756.0,7379358.0,29.715,24.4,6397.36,67.92,0.613,368.111,4.0,1.5
55,MOZ,Africa,Mozambique,2022-06-09,226233.0,2206.0,32163045.0,37.728,17.7,1136.103,60.85,0.456,329.94199999999995,3.3,0.7
56,MUS,Africa,Mauritius,2022-06-09,226851.0,996.0,1273428.0,622.962,37.4,20292.745,74.99,0.804,224.644,22.02,3.4
57,MNE,Europe,Montenegro,2022-06-09,237737.0,2721.0,628051.0,46.28,39.1,16409.288,76.88,0.8290000000000001,387.305,10.08,3.861
58,UZB,Asia,Uzbekistan,2022-06-09,239182.0,1637.0,33935765.0,76.134,28.2,6253.104,71.72,0.72,724.4169999999999,7.57,4.0
59,LUX,Europe,Luxembourg,2022-06-09,251873.0,1084.0,634814.0,231.447,39.7,94277.965,82.25,0.9159999999999999,128.275,4.42,4.51
60,ZWE,Africa,Zimbabwe,2022-06-09,253779.0,5515.0,15092171.0,42.729,19.6,1899.775,61.49,0.5710000000000001,307.846,1.82,1.7
61,DZA,Africa,Algeria,2022-06-09,265920.0,6875.0,44616626.0,17.348,29.1,13913.839,76.88,0.748,278.36400000000003,6.73,1.9
62,ALB,Europe,Albania,2022-06-09,276583.0,3497.0,2872934.0,104.87100000000001,38.0,11803.431,78.57,0.795,304.195,10.08,2.89
63,BWA,Africa,Botswana,2022-06-09,310431.0,2701.0,2397240.0,4.044,25.8,15807.374,69.59,0.735,237.372,4.81,1.8
64,MKD,Europe,North Macedonia,2022-06-09,312473.0,9313.0,2082661.0,82.6,39.1,13111.214,75.8,0.774,322.688,10.08,4.28
65,ZMB,Africa,Zambia,2022-06-09,322919.0,3989.0,18920657.0,22.995,17.7,3689.2509999999997,63.89,0.584,234.49900000000002,3.94,2.0
66,KEN,Africa,Kenya,2022-06-09,326217.0,5651.0,54985702.0,87.324,20.0,2993.028,66.7,0.601,218.637,2.92,1.4
67,QAT,Asia,Qatar,2022-06-09,371247.0,677.0,2930524.0,227.322,31.9,116935.6,80.23,0.848,176.69,16.52,1.2
68,BIH,Europe,Bosnia and Herzegovina,2022-06-09,378069.0,15792.0,3263459.0,68.49600000000001,42.5,11713.895,77.4,0.78,329.635,10.08,3.5
